Altium Designer Pick and Place Locations
C:\Users\adolf\Dropbox\Agym\Peso\PCB_Project\Project Outputs for Peso\Pick Place\Pick Place for PCB_Peso.csv

========================================================================================================================
File Design Information:

Date:       18/07/22
Time:       12:32
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"L4","Ferrite Bead","TopLayer","0603","1146.063","1019.531","0","Ferrite Beads Multi-Layer 220Ohm 25% 100MHz 1.4A 100mOhm DCR 0603 Paper T/R"
"CBAT","10u","TopLayer","C3216[1206]","1916.383","489.217","270","Ceramic capacitor SMD-1206 10000nF (10uF) /25V X7R# K 10%, Samsung, RoHS/4k/"
"U6","ATtiny85-20SU","TopLayer","8S2_L","1705.000","1338.110","90","8-bit AVR Microcontroller, 20MHz, 2.7-5.5V, 8K Flash, 512 Bytes EEPROM, 512 Bytes SRAM, Industrial Grade (-40°C to 85°C), 8-Lead SOIC, Pb-Free"
"U5","HX711","TopLayer","SOP-16-150mil","1646.323","1892.086","180","Amplificador e A/D"
"U4","JDY-23","TopLayer","JDY","836.201","1985.317","0","BD Module"
"U3","RT6150BGQW","TopLayer","WDFN-10_EPAD_3x3","836.063","1029.527","270","Step-down-Step-Up 1.8V~5.5V 1.8V~5.5V 800mA 1.6A 1MHz"
"U2","XB8089D","TopLayer","SOP8-EPAD","1516.383","529.217","270","BAT Protection"
"U1","TP4056","TopLayer","SOP8-EPAD","936.063","459.527","270","Carregador bateria 1A"
"SW1","SS-12D11G5R","TopLayer","SS-12D11G5R","280.906","1359.764","90","Slide Switch"
"R19","51k","TopLayer","R1608[0603]","1770.000","1120.315","180","Res Thick Film 0603 51K Ohm 1% 1/10W ±100ppm/°C Molded SMD Punched Carrier T/R"
"R18","15k","TopLayer","R1608[0603]","1640.000","1120.315","180","Res Thick Film 0603 15K Ohm 1% 1/10W ±100ppm/°C SMD Punched Carrier T/R"
"R17","1k","TopLayer","R1608[0603]","1510.000","1310.315","0","ERJ Series 0603 1 kOhm 0.2 W ±0.1 % ±50ppm/°C Thick Film Chip Resistor"
"R16","330R","TopLayer","R1608[0603]","1700.000","1590.315","270","Res Thick Film 0603 330 Ohm 1% 1/10W +/-100ppm/ßC Molded SMD Punched Carrier T/R"
"R15","330R","TopLayer","R1608[0603]","1760.000","1590.315","270","Res Thick Film 0603 330 Ohm 1% 1/10W +/-100ppm/ßC Molded SMD Punched Carrier T/R"
"R14","1k","TopLayer","R1608[0603]","1510.000","1370.315","0","ERJ Series 0603 1 kOhm 0.2 W ±0.1 % ±50ppm/°C Thick Film Chip Resistor"
"R13","1k","TopLayer","R1608[0603]","1523.063","2318.528","0","ERJ Series 0603 1 kOhm 0.2 W ±0.1 % ±50ppm/°C Thick Film Chip Resistor"
"R12","1k","TopLayer","R1608[0603]","1653.063","2318.528","0","ERJ Series 0603 1 kOhm 0.2 W ±0.1 % ±50ppm/°C Thick Film Chip Resistor"
"R11","100R","TopLayer","R1608[0603]","1476.063","2179.528","90","Res Thin Film 0603 100 Ohm 0.1% 1/10W ±25ppm/°C Molded SMD SMD Punched Carrier T/R"
"R10","100R","TopLayer","R1608[0603]","1416.063","2179.528","90","Res Thin Film 0603 100 Ohm 0.1% 1/10W ±25ppm/°C Molded SMD SMD Punched Carrier T/R"
"R9","8k2","TopLayer","R1608[0603]","1646.063","2089.528","0","Resistor"
"R8","12k","TopLayer","R1608[0603]","1686.000","2194.000","90","Res Thick Film 0603 12K Ohm 0.5% 1/16W ±50ppm/°C Molded SMD Punched Carrier T/R"
"R7","86.6k","TopLayer","R1608[0603]","842.063","919.528","0","Res Thick Film 0603 86.6K Ohm 1% 1/10W ±100ppm/°C Molded SMD Punched Carrier T/R"
"R6","487k","TopLayer","R1608[0603]","972.063","919.528","0","Res Thick Film 0603 487K Ohm 1% 1/10W ±100ppm/°C Molded SMD Punched Carrier T/R"
"R5","1k","TopLayer","R2012[0805]","1751.383","424.217","0","Res Thick Film 0805 1K Ohm 1% 0.4W ±100ppm/C Epoxy Resin Pad SMD Automotive T/R"
"R4","1k2","TopLayer","R1608[0603]","730.000","510.000","90","Resistor"
"R3","1k","TopLayer","R1608[0603]","996.063","619.528","180","ERJ Series 0603 1 kOhm 0.2 W ±0.1 % ±50ppm/°C Thick Film Chip Resistor"
"R2","1k","TopLayer","R1608[0603]","996.063","679.528","180","ERJ Series 0603 1 kOhm 0.2 W ±0.1 % ±50ppm/°C Thick Film Chip Resistor"
"R1","0R4","TopLayer","R3216[1206]","676.063","399.527","0","Resistor"
"Q1","PNP","TopLayer","SOT-23-3","1796.063","2129.528","270","Transistor Bipolar SOT-23 25V 300mW 500mA PNP"
"A+","Header 3","TopLayer","HDR1X3","1516.000","2482.000","180","Header, 3-Pin"
"BAT-","BAT-","TopLayer","PIN1","1916.383","649.217","90","Plug"
"BAT+","BAT+","TopLayer","PIN1","1916.383","329.217","90","Plug"
"L3","2u2","TopLayer","INDUTOR_3.2x2.5mm","880.517","1220.945","180","Indutor"
"L2","Ferrite Bead","TopLayer","0603","240.000","1700.003","0","Ferrite Beads Multi-Layer 220Ohm 25% 100MHz 1.4A 100mOhm DCR 0603 Paper T/R"
"L1","Ferrite Bead","TopLayer","0805","179.840","739.888","0","Ferrite Beads Multi-Layer 220Ohm 25% 100MHz 2A 45mOhm DCR 0805 Paper T/R"
"J1","TYPE-C-31-M-17","TopLayer","TYPE_C_-_6_PINS","145.145","477.340","270","6 Pins USB Type C"
"F1","Resettable Fuse","TopLayer","0805","361.223","479.639","180",""
"D2","RED","TopLayer","LED-0603-R","846.063","619.528","0","LED"
"D1","GREEN","TopLayer","LED-0603-G","846.063","679.528","0","LED"
"C19","47n","TopLayer","C1608[0603]","1590.000","1590.315","0","Prices include import duty and tax. CAP, 0.047UF, 50V, MLCC, 0603; SVHC: No SVHC (15-Jan-2019)"
"C18","10uF","TopLayer","C1608[0603]","1590.000","1540.315","180","Cap Ceramic 10uF 10V X7R 20% Pad SMD 0603 125C T/R"
"C17","220p","TopLayer","C1005[0402]","1640.000","1720.000","0","CL05 Series 220 pF 50 V ±5 % Tolerance C0G SMT Multilayer Ceramic Capacitor"
"C16","220p","TopLayer","C1005[0402]","1550.000","1720.000","0","CL05 Series 220 pF 50 V ±5 % Tolerance C0G SMT Multilayer Ceramic Capacitor"
"C15","100nF","TopLayer","C1608[0603]","1446.063","2079.528","180","0603 0.1 uF 16 V ±10% Tolerance X7R Multilayer Ceramic Chip Capacitor"
"C14","100nF","TopLayer","C1608[0603]","1546.063","2119.527","270","0603 0.1 uF 16 V ±10% Tolerance X7R Multilayer Ceramic Chip Capacitor"
"C13","47n","TopLayer","C1608[0603]","436.063","2219.528","0","Prices include import duty and tax. CAP, 0.047UF, 50V, MLCC, 0603; SVHC: No SVHC (15-Jan-2019)"
"C12","10uF","TopLayer","C1608[0603]","436.063","2169.528","180","Cap Ceramic 10uF 10V X7R 20% Pad SMD 0603 125C T/R"
"C11","10uF","TopLayer","C1608[0603]","1830.000","2230.000","180","Cap Ceramic 10uF 10V X7R 20% Pad SMD 0603 125C T/R"
"C10","10uF","TopLayer","C1608[0603]","1886.063","1959.527","90","Cap Ceramic 10uF 10V X7R 20% Pad SMD 0603 125C T/R"
"C9","47n","TopLayer","C1608[0603]","1886.063","1809.527","270","Prices include import duty and tax. CAP, 0.047UF, 50V, MLCC, 0603; SVHC: No SVHC (15-Jan-2019)"
"C8","10u","TopLayer","C2012[0805]","946.063","1059.527","90","Cap Ceramic 10uF 16V X7R 10% SMD 0805 125°C Emboss T/R"
"C7","10u","TopLayer","C2012[0805]","1016.063","1059.527","90","Cap Ceramic 10uF 16V X7R 10% SMD 0805 125°C Emboss T/R"
"C6","100n","TopLayer","C2012[0805]","1751.383","504.217","180","CAP CER 0.1UF 50V X7R 0805"
"C5","10u","TopLayer","C2012[0805]","735.433","1046.417","270","Cap Ceramic 10uF 16V X7R 10% SMD 0805 125°C Emboss T/R"
"C4","10u","TopLayer","C3216[1206]","1026.063","309.527","0","Ceramic capacitor SMD-1206 10000nF (10uF) /25V X7R# K 10%, Samsung, RoHS/4k/"
"C3","10u","TopLayer","C3216[1206]","836.063","309.527","180","Ceramic capacitor SMD-1206 10000nF (10uF) /25V X7R# K 10%, Samsung, RoHS/4k/"
"C2","1u","TopLayer","C2012[0805]","360.000","560.000","0","CAP CER 1UF 50V X7R 0805"
"C1","10n","TopLayer","C2012[0805]","361.063","399.527","180","CAP CER 10000PF 50V C0G/NP0 0805"
